	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
181	181	-128.380777	16.173783	-7609731.716	958696.1178	906	16.173141	-128.388486	16.205548999999998	-128.35822	199.852468	16.20712	-128.34751200000002	-7607759.9520000005	960672.1139	924	0	Vent	185	41.88381375957214	2575.6874316729186	12.887944079194051	0	NotEquant	1.0	0.0	0.0
182	182	-129.786068	15.098795	-7693029.946	894976.4842	480	15.104719000000001	-129.831897	15.077164999999999	-129.750376	284.825065	15.105004999999998	-129.801345	-7693935.435	895344.6034	490	0	Vent	186	-70.71692310276286	4934.0993780944855	17.32326253693468	0	NotEquant	8.0	0.0	0.0
183	183	-123.93717600000001	18.727109	-7346338.647999999	1110043.72	601	18.7416	-123.98329	18.714474	-123.91761699999999	158.91673600000001	18.72244	-123.91734299999999	-7345163.036	1109766.996	604	0	Vent	187	-66.44667309585914	4014.6840493793593	25.26281466905637	0	NotEquant	8.0	0.0	0.0
184	184	-101.326931	2.1181650000000003	-6006123.179	125553.60800000001	4820	2.039001	-101.428296	2.1805790000000003	-101.256975	1871.4635399999997	2.1293729999999997	-101.269871	-6002740.996	126217.915	4984	0	Vent	188	50.407800333027126	13144.512840693353	7.023654246928772	0	NotEquant	54.0	3.0	3.0
185	185	-100.398213	2.454704	-5951073.716	145501.8458	4705	2.490277	-100.394763	2.413183	-100.406898	478.94553899999994	2.487612	-100.40078299999999	-5951226.041	147452.4543	4730	0	Vent	189	8.937465089901622	4617.454207274546	9.640875279714312	0	NotEquant	107.0	3.0	3.0
186	186	-98.587336	2.3397930000000002	-5843734.531	138690.5206	4319	2.329978	-98.6216	2.3574599999999997	-98.564493	438.457803	2.3474310000000003	-98.542222	-5841060.378	139143.2649	4327	0	Vent	190	64.2815136482211	3747.1774168128823	8.546266918216716	0	NotEquant	25.0	3.0	3.0
187	187	-97.31828900000001	3.682891	-5768512.163	218302.2369	4032	3.64595	-97.325071	3.706983	-97.313292	459.909114	3.729504	-97.299872	-5767420.499	221065.2464	4044	0	Vent	192	10.901121897202582	3677.4835863628814	7.996109392959065	0	NotEquant	109.0	3.0	3.0
188	188	-100.729781	10.568848	-5970727.2979999995	626465.2875	3549	10.552964999999999	-100.790814	10.567956	-100.669105	310.537353	10.566064	-100.745914	-5971683.562000001	626300.2686	3552	0	Vent	193	82.84730182474243	7134.492139727049	22.974666560409077	0	NotEquant	3.0	4.0	4.0
189	189	-100.835959	10.478922	-5977020.992000001	621134.9144	3493	10.471248	-100.852021	10.474817	-100.821326	205.790919	10.478993	-100.82311	-5976259.366	621139.1457	3498	0	Vent	194	83.2537046611683	1798.306236739498	8.738511132940214	0	NotEquant	1.0	4.0	4.0
190	190	-100.97680799999999	10.636022	-5985369.768999999	630447.012	3528	10.620853	-101.008574	10.636915	-100.95610699999999	543.114075	10.643946000000001	-100.948826	-5983711.117000001	630916.6813	3551	0	Vent	195	72.69442182019394	3195.61454603023	5.883873560136018	0	NotEquant	1.0	4.0	4.0
191	191	-99.769841	11.035817	-5913827.171	654144.695	3575	11.027429	-99.783404	11.039564	-99.76163199999999	379.766753	11.034746	-99.761418	-5913327.882999999	654081.2262	3576	0	Vent	196	60.40723537046667	1454.0032129769459	3.8286743151972176	0	NotEquant	57.0	4.0	4.0
192	192	-99.667997	11.504952000000001	-5907790.363	681952.5452	3554	11.506069	-99.676503	11.493791	-99.67350400000001	538.8768230000001	11.504452	-99.682987	-5908678.926	681922.9264	3559	0	Vent	197		746.9677959753042	1.3861568434449147	1	Equant	44.0	4.0	4.0
193	193	-100.034204	10.938305999999999	-5929497.182999999	648364.7723	3568	10.921531	-100.044626	10.946943	-100.03120600000001	319.5403	10.941328	-100.033829	-5929474.969	648543.8954	3568	0	Vent	198	27.40590245577461	1693.641316150201	5.30024324365409	0	NotEquant	48.0	4.0	4.0
194	194	-100.64389	11.777174	-5965636.1389999995	698088.4414	3791	11.770107000000001	-100.652171	11.773391	-100.64232	230.713624	11.76868	-100.644033	-5965644.601	697584.922	3793	0	Vent	199	71.19379011500111	602.7680983051592	2.6126246376553786	0	NotEquant	36.0	4.0	4.0
195	195	-100.63611999999999	11.958636	-5965175.551	708844.5162	3786	11.949713000000001	-100.643829	11.951853999999999	-100.630837	143.499667	11.948828	-100.659419	-5966556.632999999	708263.1418	3792	0	Vent	200	80.43724559873596	762.6267885173995	5.3144847264168185	0	NotEquant	8.0	4.0	4.0
196	196	-101.02394699999999	12.858949	-5988163.908	762210.3095	4516	12.843886999999999	-101.031228	12.854452	-101.028944	258.058618	12.855166	-101.03594	-5988874.757999999	761986.053	4525	0	Vent	201	11.901882036696119	638.8297920863635	2.4755220230093746	0	NotEquant	1.0	4.0	4.0
197	197	-100.198032	13.094063	-5939208.055	776146.6471	4042	13.086996000000001	-100.20445699999999	13.09185	-100.195891	166.323247	13.096847	-100.20617	-5939690.418	776311.666	4046	0	Vent	202	59.80926948538005	571.1168997076331	3.4337767570617057	0	NotEquant	1.0	4.0	4.0
198	198	-99.063488	13.07782	-5871958.278	775183.8089	3668	13.061758	-99.076337	13.072751	-99.066486	301.523306	13.066327000000001	-99.058348	-5871653.627	774502.5769	3671	0	Vent	203	41.116955195578576	863.3621703914564	2.863334784447662	0	NotEquant	9.0	4.0	4.0
