FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent
88	-106.107422	2.304955	5669	2.27821	-106.117511	2.354543	-106.092765	145.4	-6289383.796	136384.3353	5674	0	Vent
89	-106.118158	2.73843	5786	2.706521	-106.154325	2.833585	-106.017625	246.8	-6292694.291	160022.0314	5798	0	Vent
90	-106.244968	3.110315	5833	3.118301	-106.250186	3.094316	-106.248663	227.4	-6297656.94	184960.2442	5836	0	Vent
91	-106.273699	2.604146	5769	2.551513	-106.286263	2.621564	-106.272557	163.6	-6299146.727	154448.8438	5773	0	Vent
92	-106.554917	3.02818	5787	2.996676	-106.580044	3.040458	-106.544066	292	-6312914.875	183066.4818	5807	0	Vent
93	-106.442251	2.642258	5743	2.638736	-106.449485	2.737125	-106.357582	240.2	-6306480.366	159999.802	5760	0	Vent
94	-106.562484	2.290808	5666	2.233493	-106.612462	2.349194	-106.525463	111.5	-6314264.388	139085.9094	5673	0	Vent
95	-105.888215	2.072639	5660	2.085503	-105.892379	2.057396	-105.896395	192.5	-6276805.044	122013.0284	5670	0	Vent
96	-107.882614	0.306465	5678	0.283191	-107.899122	0.311745	-107.877558	166.4	-6394523.149	17814.44715	5681	0	Vent
97	-107.272057	1.422746	5543	1.370422	-107.314136	1.476308	-107.23487	235.7	-6356047.677	87205.88601	5559	0	Vent
98	-107.116748	1.838197	5576	1.809272	-107.109461	1.895081	-107.10961	268	-6350126.314	106310.1651	5583	0	Vent
99	-107.015798	1.681918	5584	1.660577	-107.027992	1.701771	-106.987988	125.6	-6340773.359	101656.3536	5599	0	Vent
100	-107.482209	3.801773	5642	3.842745	-107.472394	3.757233	-107.501096	391.7	-6370388.695	226233.2924	5650	0	Vent
101	-107.139451	2.786982	5590	2.762694	-107.173109	2.809431	-107.101497	237.1	-6347700.646	167431.9055	5596	0	Vent
102	-107.181451	4.82352	5859	4.868624	-107.190647	4.756314	-107.18565	433	-6353249.622	286847.7864	5875	0	Vent
103	-105.555738	5.1273	6369	5.109573	-105.564066	5.158114	-105.553834	141.7	-6258739.284	303576.4321	6386	0	Vent
104	-105.478812	5.327593	6392	5.298683	-105.489996	5.35698	-105.472626	243.2	-6251906.508	317875.7993	6401	0	Vent
105	-105.439531	5.271127	6330	5.235554	-105.469988	5.278146	-105.435248	656.9	-6251360.331	311390.8525	6371	0	Vent
106	-105.721358	5.436927	6405	5.427987	-105.732295	5.441857	-105.713149	174.2	-6265797.557	322911.1039	6410	0	Vent
107	-105.474092	5.503776	6439	5.496464	-105.480122	5.505962	-105.471378	458.8	-6251970.267	325849.5954	6440	0	Vent
108	-105.348255	5.880387	6537	5.886643	-105.352477	5.848048	-105.352024	218.6	-6244062.834	350212.5696	6545	0	Vent
109	-104.90884	5.058825	6085	5.027693	-104.908388	5.07669	-104.907936	493.7	-6219370.651	299822.2452	6103	0	Vent
110	-105.19982	5.005895	6193	5.01969	-105.199066	4.953204	-105.192734	105.8	-6236009.085	297937.3043	6201	0	Vent
111	-105.059118	5.675287	6336	5.642346	-105.071179	5.69843	-105.056706	297.6	-6228126.021	336896.0042	6344	0	Vent
112	-105.095356	6.109996	6496	6.109468	-105.109678	6.100573	-105.082088	281	-6230561.691	361410.7417	6504	0	Vent
113	-105.19894	6.259823	6603	6.242711	-105.206026	6.26819	-105.199845	251.7	-6236591.615	371603.4104	6615	0	Vent
114	-105.442903	4.825852	6252	4.82653	-105.449235	4.814771	-105.443959	234.4	-6250519.327	286456.4049	6254	0	Vent
115	-105.450302	4.508379	6140	4.498805	-105.456483	4.510715	-105.450754	561.5	-6251347.16	267440.1113	6147	0	Vent
116	-105.138882	4.381524	6009	4.374966	-105.147627	4.386876	-105.140692	192.5	-6231999.287	259980.0708	6021	0	Vent
117	-105.216905	4.499366	6115	4.505622	-105.221278	4.485571	-105.217659	253.2	-6236547.073	266037.6143	6116	0	Vent
118	-105.22982	4.534341	6123	4.532306	-105.225749	4.535623	-105.226503	109.5	-6237051.065	268818.2639	6131	0	Vent
119	-105.251258	4.552108	6107	4.530435	-105.259423	4.561395	-105.252076	138.6	-6238414.893	269304.3666	6113	0	Vent
120	-105.403782	4.745021	6285	4.738036	-105.405652	4.753741	-105.403749	581.7	-6246770.569	281650.3481	6302	0	Vent
121	-105.390465	4.793449	6313	4.796423	-105.401648	4.795471	-105.360484	282.1	-6247144.477	283712.0354	6314	0	Vent
122	-105.393429	4.242546	6078	4.237431	-105.398426	4.245997	-105.396047	147.3	-6247146.729	251725.2981	6078	0	Vent
123	-105.046673	3.066751	5681	3.047359	-105.063805	3.078292	-105.040248	439.3	-6226398.204	180388.6757	5684	0	Vent
124	-104.341178	3.580797	5662	3.560215	-104.353314	3.59091	-104.341416	249.2	-6185155.675	211459.4089	5666	0	Vent
125	-113.843587	25.740342	2684	25.731895	-113.847394	25.736892	-113.841921	125.6	-6748788.887	1524714.327	2692	0	Vent
126	-109.237085	26.797967	3625	26.855431	-109.229946	26.81498	-109.240178	87.2	-6475122.102	1588521.775	3625	0	Vent
127	-109.39488	26.969641	3696	26.955008	-109.397022	26.977137	-109.406302	394.7	-6484813.886	1597859.93	3707	0	Vent
128	-109.223206	27.145539	3637	27.145658	-109.227251	27.136379	-109.227727	162.8	-6474208.471	1609033.064	3637	0	Vent
129	-108.530627	-0.619637	5894	-0.616434	-108.530298	-0.62744	-108.542509	303.6	-6434751.249	-37264.76227	5898	0	Vent
130	-108.468466	-0.456889	5933	-0.467668	-108.481733	-0.447315	-108.459269	491.2	-6431043.388	-28008.58016	5940	0	Vent
131	-108.447129	-0.942889	5902	-0.959246	-108.464165	-0.93422	-108.437028	154.7	-6431564.214	-58593.21146	5910	0	Vent
132	-108.119666	-3.071146	6187	-3.054465	-108.286693	-3.08516	-107.944051	502.1	-6412049.578	-182189.5213	6203	0	Vent
133	-108.290121	-4.787497	6488	-4.764678	-108.291653	-4.817978	-108.288988	326.3	-6418898.709	-282767.5984	6489	0	Vent
134	-108.419968	-3.427354	6358	-3.437157	-108.431389	-3.428401	-108.409117	269.9	-6427330.876	-203955.073	6358	0	Vent
135	-109.028396	-2.413623	6285	-2.425711	-109.04077	-2.421713	-109.027254	196.7	-6462487.702	-143726.1458	6289	0	Vent
136	-108.984875	-2.043693	6175	-2.06092	-109.003149	-2.045311	-108.977642	209.3	-6460257.074	-122006.6723	6181	0	Vent
137	-109.007433	-1.22645	6142	-1.227878	-109.013144	-1.251482	-109.007623	152.2	-6461628.035	-73810.30122	6180	0	Vent
138	-109.254944	-0.995432	6152	-1.006567	-109.262939	-0.998572	-109.254183	144.7	-6476451.517	-59490.50109	6159	0	Vent
139	-109.463046	0.219161	5783	0.16778	-109.528003	0.22108	-109.440201	372.2	-6485223.952	13248.78341	5814	0	Vent
140	-109.758318	0.964087	5826	0.950168	-109.779971	0.966586	-109.746896	527	-6507033.511	56718.63176	5836	0	Vent
141	-109.908356	-0.30649	5879	-0.318982	-109.916446	-0.300899	-109.905501	293.9	-6515757.748	-19229.16318	5887	0	Vent
142	-109.963309	-0.355998	5893	-0.360876	-109.979728	-0.354213	-109.954029	264.3	-6518558.838	-21031.67779	5899	0	Vent
143	-109.885088	-0.817407	5987	-0.830851	-109.90222	-0.818478	-109.874618	209.7	-6513997.701	-48895.84137	5990	0	Vent
144	-110.038561	-1.019397	6002	-1.024989	-110.062355	-1.026417	-110.027139	544.2	-6523654.99	-59970.04152	6092	0	Vent
145	-110.890466	-5.443565	6903	-5.439163	-110.928061	-5.453202	-110.841687	277.3	-6571797.139	-322991.4662	6922	0	Vent
146	-111.037303	-5.429341	6911	-5.424701	-111.066332	-5.428984	-111.020647	247.7	-6582049.506	-322029.8495	6922	0	Vent
147	-110.884577	-2.782358	6683	-2.784416	-110.886001	-2.781789	-110.880518	51.3	-6572292.622	-165481.7983	6686	0	Vent
148	-110.335751	-2.271816	6436	-2.270452	-110.351498	-2.284134	-110.33157	352.6	-6540338.3	-134544.8753	6441	0	Vent
149	-110.202361	-2.11145	6328	-2.113903	-110.223776	-2.115837	-110.191802	877.3	-6532575.504	-125777.5315	6390	0	Vent
150	-109.562396	-2.506866	6400	-2.521069	-109.568791	-2.505008	-109.56195	491.1	-6494887.209	-149833.5087	6408	0	Vent
151	-109.273112	-2.494631	6360	-2.503033	-109.28724	-2.492772	-109.270882	593	-6476436.754	-148465.0976	6418	0	Vent
152	-110.401299	-4.263288	6724	-4.262544	-110.407306	-4.264031	-110.400613	147.3	-6540821.72	-253123.9816	6744	0	Vent
153	-112.580738	-4.96007	7368	-4.975611	-112.589809	-4.95256	-112.578061	521.3	-6673713.846	-294738.6686	7375	0	Vent
154	-109.883339	-7.294593	7119	-7.314149	-109.887056	-7.291396	-109.889436	458	-6511693.779	-432769.8432	7135	0	Vent
155	-110.021684	-6.872641	6903	-6.867361	-110.032986	-6.892048	-110.021386	436.1	-6520892.717	-408164.9409	6907	0	Vent
156	-106.729315	-3.652715	6144	-3.649369	-106.734371	-3.65859	-106.732586	410.4	-6326796.35	-216898.6458	6146	0	Vent
157	-106.775719	-3.533248	6117	-3.509974	-106.798175	-3.58463	-106.765755	476.3	-6331027.903	-207701.6516	6139	0	Vent
158	-106.434103	-3.082039	5885	-3.089775	-106.441586	-3.079686	-106.425977	767.6	-6308739.241	-183272.2314	5890	0	Vent
159	-109.662808	-4.086134	6541	-4.087562	-109.683105	-4.096627	-109.645771	256.7	-6501905.35	-242386.3021	6550	0	Vent
160	-109.776908	-4.214229	6600	-4.227733	-109.81877	-4.213599	-109.75481	120.7	-6506527.551	-250266.8272	6604	0	Vent
161	-109.74539	-4.950949	6661	-4.953779	-109.787327	-4.95435	-109.717085	331.4	-6503753.876	-293783.3663	6674	0	Vent
162	-109.604278	-5.174078	6755	-5.168653	-109.619506	-5.193209	-109.598377	274.3	-6496861.971	-306797.0111	6755	0	Vent
163	-109.762223	-5.419413	6741	-5.426361	-109.775739	-5.425409	-109.758987	177.6	-6506035.138	-321639.5654	6743	0	Vent
164	-109.454212	-5.69734	6808	-5.70393	-109.462785	-5.706547	-109.456836	335.3	-6487166.442	-337839.2491	6815	0	Vent
165	-108.64272	-3.273449	6308	-3.297506	-108.712372	-3.274752	-108.635634	180.8	-6438960.423	-193825.3502	6317	0	Vent
166	-108.316431	-4.967113	6541	-4.958704	-108.341979	-4.971368	-108.308962	220.4	-6419849.951	-294719.4768	6550	0	Vent
167	-109.234929	-5.074114	6734	-5.091524	-109.253447	-5.07115	-109.232478	224.7	-6477425.896	-301282.792	6744	0	Vent
168	-109.605604	-1.245605	6059	-1.256982	-109.614676	-1.222034	-109.590732	213.2	-6497270.606	-75241.88408	6064	0	Vent
169	-109.220348	-1.404488	6165	-1.408665	-109.214564	-1.394091	-109.207723	745.1	-6473199.153	-83576.41884	6167	0	Vent
170	-109.189314	-3.297425	6392	-3.301961	-109.244934	-3.322335	-109.11912	212.3	-6467263.756	-195686.6092	6405	0	Vent
