	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	AspectRatio	Equant	EquantInt	Length	Orientation	Prominence	clusterID	clusterName
53	53	-112.629958	26.893246	-6676106.717	1594089.029	2910	26.871913	-112.668252	26.903724	-112.588649	366.708762	26.901741	-112.597693	-6674194.189	1594592.549	2920	0	Vent	54	12.5523709911	NotEquant	0	4603.06442632	65.8468292006	18.0	2.0	
54	54	-112.219854	25.989424	-6651797.911	1540515.254	3031	25.957349	-112.319752	26.010173	-112.1984	258.63011	25.988496	-112.198867	-6650553.922	1540460.247	3037	0	Vent	55	27.7274065627	NotEquant	0	7171.14220933	64.1351235015	24.0	2.0	
55	55	-111.812617	25.747662	-6627659.031	1526184.859	3113	25.76176	-111.824752	25.727853	-111.811189	276.564295	25.745592	-111.80919	-6627455.931	1526062.152	3114	0	Vent	56	7.71035274203	NotEquant	0	2132.4082703	160.182944244	24.0	2.0	
56	56	-114.020603	28.355341	-6758536.731	1680754.248	2643	28.334461	-114.05915	28.381217	-113.970277	356.880429	28.363764	-114.019603	-6758477.494	1681253.536	2704	0	Vent	57	15.1064398576	NotEquant	0	5391.19273704	59.1061883634	15.0	2.0	
57	57	-114.227851	27.770551	-6770821.302	1646091.002	2628	27.750861	-114.234677	27.79384	-114.225308	266.956831	27.752848	-114.22885	-6770880.539	1645041.65	2630	0	Vent	58	9.70116902183	NotEquant	0	2589.79333906	10.9149077088	1.0	2.0	
58	58	-113.199347	25.432665	-6709857.055	1507513.551	2844	25.387381	-113.210203	25.494308	-113.189532	337.470398	25.456579	-113.198348	-6709797.817	1508931.021	2879	0	Vent	59	19.0303866396	NotEquant	0	6422.19215337	9.89804171811	68.0	2.0	
59	59	-106.807257	3.14738	-6330967.871	186560.0002	5828	3.122767	-106.816478	3.15489	-106.809191	321.62486	3.136661	-106.8069	-6330946.714	185924.6067	5836	0	Vent	60	6.05909772715	NotEquant	0	1948.75645822	12.7623139864	122.0	3.0	
60	60	-106.766522	2.720868	-6328553.273	161278.6368	5762	2.707409	-106.770983	2.72124	-106.768752	163.572044	2.714372	-106.771376	-6328840.999	160893.5926	5762	0	Vent	61	5.06742040388	NotEquant	0	828.88831327	9.15296938888	105.0	3.0	
61	61	-106.640085	2.417064	-6321058.785	143270.7536	5713	2.409703	-106.653321	2.413569	-106.633542	188.173273	2.410069	-106.658794	-6322167.726	142856.0906	5718	0	Vent	62	6.33132008971	NotEquant	0	1191.38522369	78.9304338311	40.0	3.0	
62	62	-106.899013	2.233286	-6336406.653	132377.3565	5621	2.213879	-106.909423	2.240201	-106.896782	375.949905	2.229788	-106.89473	-6336152.777	132170.025	5625	0	Vent	63	4.59482662318	NotEquant	0	1727.42463247	25.6352620107	12.0	3.0	
63	63	-106.707083	2.08272	-6325030.043	123452.582	5637	2.178553	-106.652984	2.027457	-106.737693	170.713061	2.175257	-106.653184	-6321835.197	128937.6763	5662	0	Vent	64	60.0263062291	NotEquant	0	10247.2744769	-150.7385858	7.0	3.0	
