	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
52	52	-113.144	27.5893	2905	27.576	-113.158	27.5849	-113.144	176.9	-6.70714e+06	1.63439e+06	2917	0	Vent	54.6938	910.692	5.14806	0	NotEquant	0	2	Ceraunius
53	53	-112.63	26.8932	2910	26.8719	-112.668	26.9037	-112.589	366.7	-6.67419e+06	1.59459e+06	2920	0	Vent	65.8468	4603.06	12.5527	0	NotEquant	0	2	Ceraunius
54	54	-112.22	25.9894	3031	25.9573	-112.32	26.0102	-112.198	258.6	-6.65055e+06	1.54046e+06	3037	0	Vent	64.1351	7171.14	27.7306	0	NotEquant	0	2	Ceraunius
55	55	-111.813	25.7477	3113	25.7618	-111.825	25.7279	-111.811	276.6	-6.62746e+06	1.52606e+06	3114	0	Vent	-19.8171	2132.41	7.70936	0	NotEquant	0	2	Ceraunius
56	56	-114.021	28.3553	2643	28.3345	-114.059	28.3812	-113.97	356.9	-6.75848e+06	1.68125e+06	2704	0	Vent	59.1062	5391.19	15.1056	0	NotEquant	0	2	Ceraunius
57	57	-114.228	27.7706	2628	27.7509	-114.235	27.7938	-114.225	267	-6.77088e+06	1.64504e+06	2630	0	Vent	10.9149	2589.79	9.6996	0	NotEquant	0	2	Ceraunius
58	58	-113.199	25.4327	2844	25.3874	-113.21	25.4943	-113.19	337.5	-6.7098e+06	1.50893e+06	2879	0	Vent	9.89804	6422.19	19.0287	0	NotEquant	0	2	Ceraunius
59	59	-106.807	3.14738	5828	3.12277	-106.816	3.15489	-106.809	321.6	-6.33095e+06	185925	5836	0	Vent	12.7623	1948.76	6.05957	0	NotEquant	0	3	East Pavonis
60	60	-106.767	2.72087	5762	2.70741	-106.771	2.72124	-106.769	163.6	-6.32884e+06	160894	5762	0	Vent	9.15297	828.888	5.06655	0	NotEquant	0	3	East Pavonis
61	61	-106.64	2.41706	5713	2.4097	-106.653	2.41357	-106.634	188.2	-6.32217e+06	142856	5718	0	Vent	78.9304	1191.39	6.33042	0	NotEquant	0	3	East Pavonis
62	62	-106.899	2.23329	5621	2.21388	-106.909	2.2402	-106.897	375.9	-6.33615e+06	132170	5625	0	Vent	25.6353	1727.42	4.59544	0	NotEquant	0	3	East Pavonis
63	63	-106.707	2.08272	5637	2.17855	-106.653	2.02746	-106.738	170.7	-6.32184e+06	128938	5662	0	Vent	29.2614	10247.3	60.0309	0	NotEquant	0	3	East Pavonis
64	64	-106.568	1.99134	5627	1.99618	-106.579	1.96896	-106.553	123.4	-6.31759e+06	118385	5631	0	Vent	-43.3745	2215.23	17.9516	0	NotEquant	0	3	East Pavonis
65	65	-106.523	2.1014	5646	2.03197	-106.579	2.14923	-106.471	174.6	-6.31247e+06	126637	5653	0	Vent	42.557	9418.95	53.9459	0	NotEquant	0	3	East Pavonis
66	66	-106.753	1.87702	5705	1.8615	-106.773	1.88149	-106.742	300	-6.32738e+06	111357	5714	0	Vent	56.5442	2145.21	7.1507	0	NotEquant	0	3	East Pavonis
67	67	-106.213	0.327485	5643	0.314446	-106.23	0.342618	-106.196	296.3	-6.29634e+06	19128.1	5647	0	Vent	50.7284	2633.26	8.88715	0	NotEquant	0	3	East Pavonis
68	68	-106.104	-1.01642	5669	-1.06236	-106.146	-1.0231	-106.117	281.8	-6.2894e+06	-59553.4	5673	0	Vent	36.6983	2897.17	10.281	0	NotEquant	0	3	East Pavonis
69	69	-105.963	-1.41785	5654	-1.43233	-105.973	-1.39816	-105.954	154.8	-6.28187e+06	-85768.5	5663	0	Vent	29.3581	2319.56	14.9842	0	NotEquant	0	3	East Pavonis
70	70	-105.843	4.70268	6218	4.68956	-105.855	4.71353	-105.838	854.7	-6.27322e+06	279482	6224	0	Vent	34.5859	1722.75	2.01561	0	NotEquant	0	3	East Pavonis
71	71	-105.94	4.66562	6182	4.65168	-105.955	4.6755	-105.935	1067.2	-6.27905e+06	277233	6186	0	Vent	39.7822	1833.96	1.71848	0	NotEquant	0	3	East Pavonis
72	72	-105.911	4.48315	6240	4.4576	-105.923	4.49755	-105.91	221.3	-6.27876e+06	264261	6248	0	Vent	17.7328	2481.75	11.2144	0	NotEquant	0	3	East Pavonis
73	73	-105.727	4.44751	6330	4.42949	-105.744	4.45226	-105.722	239.6	-6.26712e+06	263341	6337	0	Vent	44.3385	1883.26	7.86001	0	NotEquant	0	3	East Pavonis
74	74	-105.898	4.38426	6223	4.37046	-105.907	4.39428	-105.899	238.6	-6.27696e+06	260345	6224	0	Vent	17.8406	1480.55	6.20515	0	NotEquant	0	3	East Pavonis
75	75	-105.814	4.28238	6209	4.26181	-105.827	4.29075	-105.812	131.2	-6.2728e+06	252556	6214	0	Vent	27.6794	1934.04	14.7411	0	NotEquant	0	3	East Pavonis
76	76	-105.634	4.30046	6198	4.27641	-105.645	4.32104	-105.627	187.4	-6.2621e+06	253914	6207	0	Vent	22.5071	2858.08	15.2512	0	NotEquant	0	3	East Pavonis
77	77	-105.942	3.87559	6096	3.86527	-105.952	3.87808	-105.943	395.2	-6.27955e+06	229866	6096	0	Vent	34.7032	922.288	2.33372	0	NotEquant	0	3	East Pavonis
78	78	-105.96	3.82941	6082	3.81441	-105.972	3.8405	-105.956	140	-6.28157e+06	225756	6088	0	Vent	31.6795	1813.39	12.9528	0	NotEquant	0	3	East Pavonis
79	79	-105.829	3.59169	6085	3.59538	-105.834	3.58362	-105.832	408.1	-6.27267e+06	212714	6088	0	Vent	-9.44416	705.36	1.7284	0	NotEquant	0	3	East Pavonis
80	80	-105.901	3.6206	6022	3.58766	-105.925	3.64585	-105.892	158.5	-6.27734e+06	214217	6022	0	Vent	29.8536	3970.07	25.0477	0	NotEquant	0	3	East Pavonis
81	81	-105.774	3.28489	5884	3.2634	-105.782	3.28828	-105.777	642.3	-6.27071e+06	194706	5888	0	Vent	11.9576	1504.48	2.34233	0	NotEquant	0	3	East Pavonis
82	82	-106.18	3.44752	5925	3.4286	-106.218	3.51619	-106.135	65	-6.29082e+06	208562	5947	0	Vent	43.3226	7124.1	109.602	0	NotEquant	0	3	East Pavonis
83	83	-106.025	3.04248	5895	3.03728	-106.03	3.04949	-106.025	183.4	-6.28469e+06	179940	5898	0	Vent	22.1369	780.044	4.25324	0	NotEquant	0	3	East Pavonis
84	84	-106.408	3.13928	5840	3.0887	-106.436	3.17584	-106.394	168.2	-6.30694e+06	186389	5852	0	Vent	25.2484	5700.47	33.891	0	NotEquant	0	3	East Pavonis
85	85	-106.299	3.28227	5870	3.24616	-106.319	3.31385	-106.283	274.3	-6.29962e+06	196643	5874	0	Vent	27.8862	4531.4	16.5199	0	NotEquant	0	3	East Pavonis
86	86	-106.259	2.91705	5791	2.88331	-106.279	2.94765	-106.247	98	-6.30091e+06	170178	5800	0	Vent	26.5342	4255.06	43.419	0	NotEquant	0	3	East Pavonis
87	87	-106.133	2.87312	5803	2.85209	-106.144	2.91205	-106.122	82.5	-6.29077e+06	171128	5805	0	Vent	20.1919	3780.14	45.8199	0	NotEquant	0	3	East Pavonis
88	88	-106.107	2.30496	5669	2.27821	-106.118	2.35454	-106.093	145.4	-6.28938e+06	136384	5674	0	Vent	17.9477	4747.4	32.6506	0	NotEquant	0	3	East Pavonis
89	89	-106.118	2.73843	5786	2.70652	-106.154	2.83358	-106.018	246.8	-6.29269e+06	160022	5798	0	Vent	47.0555	11035.6	44.7146	0	NotEquant	0	3	East Pavonis
90	90	-106.245	3.11031	5833	3.1183	-106.25	3.09432	-106.249	227.4	-6.29766e+06	184960	5836	0	Vent	-3.62801	1421.96	6.25313	0	NotEquant	0	3	East Pavonis
91	91	-106.274	2.60415	5769	2.55151	-106.286	2.62156	-106.273	163.6	-6.29915e+06	154449	5773	0	Vent	11.0592	4223.11	25.8137	0	NotEquant	0	3	East Pavonis
92	92	-106.555	3.02818	5787	2.99668	-106.58	3.04046	-106.544	292	-6.31291e+06	183066	5807	0	Vent	39.3718	3350.99	11.476	0	NotEquant	0	3	East Pavonis
93	93	-106.442	2.64226	5743	2.63874	-106.449	2.73712	-106.358	240.2	-6.30648e+06	160000	5760	0	Vent	43.0143	7961.81	33.1466	0	NotEquant	0	3	East Pavonis
94	94	-106.562	2.29081	5666	2.23349	-106.612	2.34919	-106.525	111.5	-6.31426e+06	139086	5673	0	Vent	36.9168	8562.51	76.7938	0	NotEquant	0	3	East Pavonis
95	95	-105.888	2.07264	5660	2.0855	-105.892	2.0574	-105.896	192.5	-6.27681e+06	122013	5670	0	Vent	8.12636	1679.87	8.72657	0	NotEquant	0	3	East Pavonis
96	96	-107.883	0.306465	5678	0.283191	-107.899	0.311745	-107.878	166.4	-6.39452e+06	17814.4	5681	0	Vent	37.0597	2117.08	12.7228	0	NotEquant	0	3	East Pavonis
97	97	-107.272	1.42275	5543	1.37042	-107.314	1.47631	-107.235	235.7	-6.35605e+06	87205.9	5559	0	Vent	36.809	7825.02	33.199	0	NotEquant	0	3	East Pavonis
98	98	-107.117	1.8382	5576	1.80927	-107.109	1.89508	-107.11	268	-6.35013e+06	106310	5583	0	Vent	-0.0994348	5077.04	18.9442	0	NotEquant	0	3	East Pavonis
99	99	-107.016	1.68192	5584	1.66058	-107.028	1.70177	-106.988	125.6	-6.34077e+06	101656	5599	0	Vent	44.1474	3396.75	27.0442	0	NotEquant	0	3	East Pavonis
100	100	-107.482	3.80177	5642	3.84274	-107.472	3.75723	-107.501	391.7	-6.37039e+06	226233	5650	0	Vent	18.5172	5335.67	13.6218	0	NotEquant	0	3	East Pavonis
101	101	-107.139	2.78698	5590	2.76269	-107.173	2.80943	-107.101	237.1	-6.3477e+06	167432	5596	0	Vent	56.8371	5055.38	21.3217	0	NotEquant	0	3	East Pavonis
102	102	-107.181	4.82352	5859	4.86862	-107.191	4.75631	-107.186	433	-6.35325e+06	286848	5875	0	Vent	-2.53882	6651.54	15.3615	0	NotEquant	0	3	East Pavonis
103	103	-105.556	5.1273	6369	5.10957	-105.564	5.15811	-105.554	141.7	-6.25874e+06	303576	6386	0	Vent	11.8563	2934.62	20.7101	0	NotEquant	0	3	East Pavonis
104	104	-105.479	5.32759	6392	5.29868	-105.49	5.35698	-105.473	243.2	-6.25191e+06	317876	6401	0	Vent	16.5232	3597.83	14.7937	0	NotEquant	0	3	East Pavonis
105	105	-105.44	5.27113	6330	5.23555	-105.47	5.27815	-105.435	656.9	-6.25136e+06	311391	6371	0	Vent	39.0824	3246.53	4.94219	0	NotEquant	0	3	East Pavonis
106	106	-105.721	5.43693	6405	5.42799	-105.732	5.44186	-105.713	174.2	-6.2658e+06	322911	6410	0	Vent	53.9555	1394.7	8.00631	0	NotEquant	0	3	East Pavonis
107	107	-105.474	5.50378	6439	5.49646	-105.48	5.50596	-105.471	458.8	-6.25197e+06	325850	6440	0	Vent	42.5009	762.233	1.66136	0	NotEquant	0	3	East Pavonis
108	108	-105.348	5.88039	6537	5.88664	-105.352	5.84805	-105.352	218.6	-6.24406e+06	350213	6545	0	Vent	-0.668966	2283.69	10.4469	0	NotEquant	0	3	East Pavonis
109	109	-104.909	5.05882	6085	5.02769	-104.908	5.07669	-104.908	493.7	-6.21937e+06	299822	6103	0	Vent	0.526468	2899.11	5.87221	0	NotEquant	0	3	East Pavonis
110	110	-105.2	5.00589	6193	5.01969	-105.199	4.9532	-105.193	105.8	-6.23601e+06	297937	6201	0	Vent	-5.42014	3951.42	37.348	0	NotEquant	0	3	East Pavonis
111	111	-105.059	5.67529	6336	5.64235	-105.071	5.69843	-105.057	297.6	-6.22813e+06	336896	6344	0	Vent	14.4014	3425.97	11.512	0	NotEquant	0	3	East Pavonis
112	112	-105.095	6.11	6496	6.10947	-105.11	6.10057	-105.082	281	-6.23056e+06	361411	6504	0	Vent	-72.0368	1706.34	6.07238	0	NotEquant	0	3	East Pavonis
113	113	-105.199	6.25982	6603	6.24271	-105.206	6.26819	-105.2	251.7	-6.23659e+06	371603	6615	0	Vent	13.5575	1550.72	6.16099	0	NotEquant	0	3	East Pavonis
114	114	-105.443	4.82585	6252	4.82653	-105.449	4.81477	-105.444	234.4	-6.25052e+06	286456	6254	0	Vent	-24.0892	762.111	3.25133	0	NotEquant	0	3	East Pavonis
115	115	-105.45	4.50838	6140	4.4988	-105.456	4.51072	-105.451	561.5	-6.25135e+06	267440	6147	0	Vent		781.509	1.39182	1	Equant	0	3	East Pavonis
116	116	-105.139	4.38152	6009	4.37497	-105.148	4.38688	-105.141	192.5	-6.232e+06	259980	6021	0	Vent	30.1384	814.83	4.23288	0	NotEquant	0	3	East Pavonis
117	117	-105.217	4.49937	6115	4.50562	-105.221	4.48557	-105.218	253.2	-6.23655e+06	266038	6116	0	Vent	-10.2005	1205.4	4.76067	0	NotEquant	0	3	East Pavonis
118	118	-105.23	4.53434	6123	4.53231	-105.226	4.53562	-105.227	109.5	-6.23705e+06	268818	6131	0	Vent	-12.7677	201.231	1.83773	0	NotEquant	0	3	East Pavonis
119	119	-105.251	4.55211	6107	4.53043	-105.259	4.5614	-105.252	138.6	-6.23841e+06	269304	6113	0	Vent	13.3089	1882.36	13.5812	0	NotEquant	0	3	East Pavonis
120	120	-105.404	4.74502	6285	4.73804	-105.406	4.75374	-105.404	581.7	-6.24677e+06	281650	6302	0	Vent	6.8854	935.963	1.60901	0	NotEquant	0	3	East Pavonis
121	121	-105.39	4.79345	6313	4.79642	-105.402	4.79547	-105.36	282.1	-6.24714e+06	283712	6314	0	Vent	-88.6722	2427.66	8.60568	0	NotEquant	0	3	East Pavonis
122	122	-105.393	4.24255	6078	4.23743	-105.398	4.246	-105.396	147.3	-6.24715e+06	251725	6078	0	Vent	15.4808	525.902	3.57028	0	NotEquant	0	3	East Pavonis
123	123	-105.047	3.06675	5681	3.04736	-105.064	3.07829	-105.04	439.3	-6.2264e+06	180389	5684	0	Vent	37.251	2299.29	5.23399	0	NotEquant	0	3	East Pavonis
124	124	-104.341	3.5808	5662	3.56022	-104.353	3.59091	-104.341	249.2	-6.18516e+06	211459	5666	0	Vent	21.1494	1947.29	7.81416	0	NotEquant	0	3	East Pavonis
125	125	-113.844	25.7403	2684	25.7319	-113.847	25.7369	-113.842	125.6	-6.74879e+06	1.52471e+06	2692	0	Vent	44.6131	415.334	3.3068	0	NotEquant	0	2	Ceraunius
126	126	-109.237	26.798	3625	26.8554	-109.23	26.815	-109.24	87.2	-6.47512e+06	1.58852e+06	3625	0	Vent	12.7213	2453.56	28.1371	0	NotEquant	0	2	Ceraunius
127	127	-109.395	26.9696	3696	26.955	-109.397	26.9771	-109.406	394.7	-6.48481e+06	1.59786e+06	3707	0	Vent	-20.4919	1397.76	3.54133	0	NotEquant	0	2	Ceraunius
128	128	-109.223	27.1455	3637	27.1457	-109.227	27.1364	-109.228	162.8	-6.47421e+06	1.60903e+06	3637	0	Vent	2.61384	549.579	3.37579	0	NotEquant	0	2	Ceraunius
129	129	-108.531	-0.619637	5894	-0.616434	-108.53	-0.62744	-108.543	303.6	-6.43475e+06	-37264.8	5898	0	Vent	47.9693	972.609	3.20359	0	NotEquant	0	3	East Pavonis
130	130	-108.468	-0.456889	5933	-0.467668	-108.482	-0.447315	-108.459	491.2	-6.43104e+06	-28008.6	5940	0	Vent	47.8217	1793.49	3.65123	0	NotEquant	0	3	East Pavonis
131	131	-108.447	-0.942889	5902	-0.959246	-108.464	-0.93422	-108.437	154.7	-6.43156e+06	-58593.2	5910	0	Vent	47.3138	2183.98	14.1175	0	NotEquant	0	3	East Pavonis
132	132	-108.12	-3.07115	6187	-3.05446	-108.287	-3.08516	-107.944	502.1	-6.41205e+06	-182190	6203	0	Vent	-84.8644	20325.2	40.4804	0	NotEquant	0	3	East Pavonis
133	133	-108.29	-4.7875	6488	-4.76468	-108.292	-4.81798	-108.289	326.3	-6.4189e+06	-282768	6489	0	Vent	-2.85231	3157.5	9.67666	0	NotEquant	0	3	East Pavonis
134	134	-108.42	-3.42735	6358	-3.43716	-108.431	-3.4284	-108.409	269.9	-6.42733e+06	-203955	6358	0	Vent	68.5039	1413.74	5.23801	0	NotEquant	0	3	East Pavonis
135	135	-109.028	-2.41362	6285	-2.42571	-109.041	-2.42171	-109.027	196.7	-6.46249e+06	-143726	6289	0	Vent	73.5082	833.262	4.23621	0	NotEquant	0	3	East Pavonis
136	136	-108.985	-2.04369	6175	-2.06092	-109.003	-2.04531	-108.978	209.3	-6.46026e+06	-122007	6181	0	Vent	58.5195	1768.49	8.44956	0	NotEquant	0	3	East Pavonis
137	137	-109.007	-1.22645	6142	-1.22788	-109.013	-1.25148	-109.008	152.2	-6.46163e+06	-73810.3	6180	0	Vent	-13.1618	1434.25	9.42343	0	NotEquant	0	3	East Pavonis
138	138	-109.255	-0.995432	6152	-1.00657	-109.263	-0.998572	-109.254	144.7	-6.47645e+06	-59490.5	6159	0	Vent	47.5969	701.478	4.84781	0	NotEquant	0	3	East Pavonis
139	139	-109.463	0.219161	5783	0.16778	-109.528	0.22108	-109.44	372.2	-6.48522e+06	13248.8	5814	0	Vent	58.74	6077.19	16.3278	0	NotEquant	0	3	East Pavonis
140	140	-109.758	0.964087	5826	0.950168	-109.78	0.966586	-109.747	527	-6.50703e+06	56718.6	5836	0	Vent	63.5973	2184.52	4.14521	0	NotEquant	0	3	East Pavonis
141	141	-109.908	-0.30649	5879	-0.318982	-109.916	-0.300899	-109.906	293.9	-6.51576e+06	-19229.2	5887	0	Vent	31.1847	1250.62	4.25526	0	NotEquant	0	3	East Pavonis
142	142	-109.963	-0.355998	5893	-0.360876	-109.98	-0.354213	-109.954	264.3	-6.51856e+06	-21031.7	5899	0	Vent	75.4647	1570.77	5.94313	0	NotEquant	0	3	East Pavonis
143	143	-109.885	-0.817407	5987	-0.830851	-109.902	-0.818478	-109.875	209.7	-6.514e+06	-48895.8	5990	0	Vent	65.853	1789.54	8.5338	0	NotEquant	0	3	East Pavonis
144	144	-110.039	-1.0194	6002	-1.02499	-110.062	-1.02642	-110.027	544.2	-6.52365e+06	-59970	6092	0	Vent	-87.6773	2084.99	3.8313	0	NotEquant	0	3	East Pavonis
145	145	-110.89	-5.44357	6903	-5.43916	-110.928	-5.4532	-110.842	277.3	-6.5718e+06	-322991	6922	0	Vent	-80.7228	5154.76	18.5891	0	NotEquant	0	3	East Pavonis
146	146	-111.037	-5.42934	6911	-5.4247	-111.066	-5.42898	-111.021	247.7	-6.58205e+06	-322030	6922	0	Vent	-84.618	2702.82	10.9117	0	NotEquant	0	3	East Pavonis
147	147	-110.885	-2.78236	6683	-2.78442	-110.886	-2.78179	-110.881	51.3	-6.57229e+06	-165482	6686	0	Vent	64.3739	359.379	7.00543	0	NotEquant	0	3	East Pavonis
148	148	-110.336	-2.27182	6436	-2.27045	-110.351	-2.28413	-110.332	352.6	-6.54034e+06	-134545	6441	0	Vent	-55.5061	1429.45	4.05404	0	NotEquant	0	3	East Pavonis
149	149	-110.202	-2.11145	6328	-2.1139	-110.224	-2.11584	-110.192	877.3	-6.53258e+06	-125778	6390	0	Vent	-86.5356	1893.97	2.15886	0	NotEquant	0	3	East Pavonis
150	150	-109.562	-2.50687	6400	-2.52107	-109.569	-2.50501	-109.562	491.1	-6.49489e+06	-149834	6408	0	Vent	23.0513	1032.73	2.1029	0	NotEquant	0	3	East Pavonis
151	151	-109.273	-2.49463	6360	-2.50303	-109.287	-2.49277	-109.271	593	-6.47644e+06	-148465	6418	0	Vent	57.8767	1141.72	1.92533	0	NotEquant	0	3	East Pavonis
152	152	-110.401	-4.26329	6724	-4.26254	-110.407	-4.26403	-110.401	147.3	-6.54082e+06	-253124	6744	0	Vent	-77.44	404.589	2.7467	0	NotEquant	0	3	East Pavonis
153	153	-112.581	-4.96007	7368	-4.97561	-112.59	-4.95256	-112.578	521.3	-6.67371e+06	-294739	7375	0	Vent	26.9193	1529.58	2.93417	0	NotEquant	0	4	Arsia
154	154	-109.883	-7.29459	7119	-7.31415	-109.887	-7.2914	-109.889	458	-6.51169e+06	-432770	7135	0	Vent	-5.92357	1353.45	2.95512	0	NotEquant	0	4	Arsia
155	155	-110.022	-6.87264	6903	-6.86736	-110.033	-6.89205	-110.021	436.1	-6.52089e+06	-408165	6907	0	Vent	-25.0083	1611.76	3.69586	0	NotEquant	0	4	Arsia
156	156	-106.729	-3.65272	6144	-3.64937	-106.734	-3.65859	-106.733	410.4	-6.3268e+06	-216899	6146	0	Vent		555.663	1.35396	1	Equant	0	3	East Pavonis
157	157	-106.776	-3.53325	6117	-3.50997	-106.798	-3.58463	-106.766	476.3	-6.33103e+06	-207702	6139	0	Vent	-23.4322	4814.2	10.1075	0	NotEquant	0	3	East Pavonis
158	158	-106.434	-3.08204	5885	-3.08977	-106.442	-3.07969	-106.426	767.6	-6.30874e+06	-183272	5890	0	Vent		1098.53	1.43112	1	Equant	0	3	East Pavonis
159	159	-109.663	-4.08613	6541	-4.08756	-109.683	-4.09663	-109.646	256.7	-6.50191e+06	-242386	6550	0	Vent	-76.3173	2267.64	8.83381	0	NotEquant	0	3	East Pavonis
160	160	-109.777	-4.21423	6600	-4.22773	-109.819	-4.2136	-109.755	120.7	-6.50653e+06	-250267	6604	0	Vent	77.5085	3865.58	32.0263	0	NotEquant	0	3	East Pavonis
161	161	-109.745	-4.95095	6661	-4.95378	-109.787	-4.95435	-109.717	331.4	-6.50375e+06	-293783	6674	0	Vent	-89.5295	4140.6	12.4943	0	NotEquant	0	3	East Pavonis
162	162	-109.604	-5.17408	6755	-5.16865	-109.62	-5.19321	-109.598	274.3	-6.49686e+06	-306797	6755	0	Vent	-40.5932	1913.37	6.97548	0	NotEquant	0	3	East Pavonis
163	163	-109.762	-5.41941	6741	-5.42636	-109.776	-5.42541	-109.759	177.6	-6.50604e+06	-321640	6743	0	Vent	86.7336	988.325	5.56489	0	NotEquant	0	3	East Pavonis
164	164	-109.454	-5.69734	6808	-5.70393	-109.463	-5.70655	-109.457	335.3	-6.48717e+06	-337839	6815	0	Vent		382.939	1.14208	1	Equant	0	3	East Pavonis
165	165	-108.643	-3.27345	6308	-3.29751	-108.712	-3.27475	-108.636	180.8	-6.43896e+06	-193825	6317	0	Vent	73.4606	4728.57	26.1536	0	NotEquant	0	3	East Pavonis
166	166	-108.316	-4.96711	6541	-4.9587	-108.342	-4.97137	-108.309	220.4	-6.41985e+06	-294719	6550	0	Vent	-68.9416	2085.43	9.46204	0	NotEquant	0	3	East Pavonis
167	167	-109.235	-5.07411	6734	-5.09152	-109.253	-5.07115	-109.232	224.7	-6.47743e+06	-301283	6744	0	Vent	45.7127	1726.36	7.68295	0	NotEquant	0	3	East Pavonis
168	168	-109.606	-1.2456	6059	-1.25698	-109.615	-1.22203	-109.591	213.2	-6.49727e+06	-75241.9	6064	0	Vent	34.4103	2506.33	11.7558	0	NotEquant	0	3	East Pavonis
169	169	-109.22	-1.40449	6165	-1.40867	-109.215	-1.39409	-109.208	745.1	-6.4732e+06	-83576.4	6167	0	Vent		952.515	1.27837	1	Equant	0	3	East Pavonis
170	170	-109.189	-3.29743	6392	-3.30196	-109.245	-3.32233	-109.119	212.3	-6.46726e+06	-195687	6405	0	Vent	-80.7828	7528.69	35.4625	0	NotEquant	0	3	East Pavonis
171	171	-109.412	-3.08548	6384	-3.08169	-109.424	-3.10995	-109.406	126.2	-6.48564e+06	-183107	6388	0	Vent	-31.3674	1957.99	15.515	0	NotEquant	0	3	East Pavonis
172	172	-109.193	-3.80353	6433	-3.78071	-109.183	-3.83811	-109.21	564	-6.4728e+06	-227539	6446	0	Vent	25.073	3749.84	6.64865	0	NotEquant	0	3	East Pavonis
173	173	-109.073	-4.32079	6642	-4.31938	-109.083	-4.33276	-109.071	430.5	-6.4681e+06	-257226	6666	0	Vent	-41.5501	1058.23	2.45813	0	NotEquant	0	3	East Pavonis
174	174	-109.032	-3.30553	6361	-3.30481	-109.066	-3.30957	-108.973	167.7	-6.45885e+06	-196100	6372	0	Vent	-87.0716	5516.71	32.8963	0	NotEquant	0	3	East Pavonis
175	175	-107.829	-0.930527	5962	-0.946826	-107.858	-0.929932	-107.817	789.4	-6.38895e+06	-55355.6	5973	0	Vent	67.4495	2606.4	3.30174	0	NotEquant	0	3	East Pavonis
176	176	-107.81	-1.2087	5907	-1.23906	-107.843	-1.18339	-107.787	162.5	-6.39209e+06	-73376.1	5916	0	Vent	45.1164	4668.35	28.7283	0	NotEquant	0	3	East Pavonis
177	177	-108.082	-1.55437	5953	-1.57133	-108.099	-1.54289	-108.055	162.5	-6.4056e+06	-91944.5	5956	0	Vent	56.7738	3070.34	18.8944	0	NotEquant	0	3	East Pavonis
178	178	-108.06	-0.508864	5883	-0.513948	-108.067	-0.497006	-108.038	227.5	-6.40423e+06	-29930	5886	0	Vent	59.6494	1983.8	8.72002	0	NotEquant	0	3	East Pavonis
179	179	-129.921	14.7427	470	14.7407	-129.945	14.7322	-129.885	273.4	-7.69862e+06	873117	483	0	Vent	-81.6049	3468.28	12.6857	0	NotEquant	0	0	Olympus
180	180	-128.786	15.8279	772	15.8271	-128.814	15.8346	-128.718	220.4	-7.62955e+06	938839	790	0	Vent	85.2723	5447.08	24.7145	0	NotEquant	0	0	Olympus
181	181	-128.381	16.1738	906	16.1731	-128.388	16.2055	-128.358	199.9	-7.60776e+06	960672	924	0	Vent	41.8838	2575.69	12.8849	0	NotEquant	0	0	Olympus
182	182	-129.786	15.0988	480	15.1047	-129.832	15.0772	-129.75	284.8	-7.69394e+06	895345	490	0	Vent	-70.7169	4934.1	17.3248	0	NotEquant	0	0	Olympus
183	183	-123.937	18.7271	601	18.7416	-123.983	18.7145	-123.918	158.9	-7.34516e+06	1.10977e+06	604	0	Vent	-66.4467	4014.68	25.2655	0	NotEquant	0	0	Olympus
184	184	-101.327	2.11817	4820	2.039	-101.428	2.18058	-101.257	1871.5	-6.00274e+06	126218	4984	0	Vent	50.4078	13144.5	7.02352	0	NotEquant	0	3	East Pavonis
185	185	-100.398	2.4547	4705	2.49028	-100.395	2.41318	-100.407	478.9	-5.95123e+06	147452	4730	0	Vent	8.93747	4617.45	9.64179	0	NotEquant	0	3	East Pavonis
186	186	-98.5873	2.33979	4319	2.32998	-98.6216	2.35746	-98.5645	438.5	-5.84106e+06	139143	4327	0	Vent	64.2815	3747.18	8.54544	0	NotEquant	0	3	East Pavonis
187	187	-97.3183	3.68289	4032	3.64595	-97.3251	3.70698	-97.3133	459.9	-5.76742e+06	221065	4044	0	Vent	10.9011	3677.48	7.99627	0	NotEquant	0	3	East Pavonis
188	188	-100.73	10.5688	3549	10.553	-100.791	10.568	-100.669	310.5	-5.97168e+06	626300	3552	0	Vent	82.8473	7134.49	22.9774	0	NotEquant	0	1	NE Ascreaus
189	189	-100.836	10.4789	3493	10.4712	-100.852	10.4748	-100.821	205.8	-5.97626e+06	621139	3498	0	Vent	83.2537	1798.31	8.73813	0	NotEquant	0	1	NE Ascreaus
190	190	-100.977	10.636	3528	10.6209	-101.009	10.6369	-100.956	543.1	-5.98371e+06	630917	3551	0	Vent	72.6944	3195.61	5.88403	0	NotEquant	0	1	NE Ascreaus
191	191	-99.7698	11.0358	3575	11.0274	-99.7834	11.0396	-99.7616	379.8	-5.91333e+06	654081	3576	0	Vent	60.4072	1454	3.82834	0	NotEquant	0	1	NE Ascreaus
192	192	-99.668	11.505	3554	11.5061	-99.6765	11.4938	-99.6735	538.9	-5.90868e+06	681923	3559	0	Vent		746.968	1.3861	1	Equant	0	1	NE Ascreaus
193	193	-100.034	10.9383	3568	10.9215	-100.045	10.9469	-100.031	319.5	-5.92947e+06	648544	3568	0	Vent	27.4059	1693.64	5.30091	0	NotEquant	0	1	NE Ascreaus
