	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
466	466	-99.7655	-15.7066	7198	-15.7051	-99.7635	-15.7226	-99.7582	499	-5.91299e+06	-930579	7209	0	Vent	-16.0733	1076.87	2.15805	0	NotEquant	0	6	Syria Planum
467	467	-99.7562	-16.2712	7030	-16.2505	-99.7507	-16.3057	-99.7631	756.7	-5.91239e+06	-964785	7032	0	Vent	12.1404	3340.92	4.41512	0	NotEquant	0	6	Syria Planum
468	468	-99.6668	-16.1323	6919	-16.1216	-99.6765	-16.1548	-99.6576	315.4	-5.90844e+06	-954665	6919	0	Vent	-28.6939	2238.98	7.09886	0	NotEquant	0	6	Syria Planum
469	469	-99.5094	-17.2429	6463	-17.2541	-99.5158	-17.2433	-99.518	318.6	-5.89798e+06	-1.02273e+06	6463	0	Vent	-10.8168	644.956	2.02434	0	NotEquant	0	6	Syria Planum
470	470	-99.3182	-16.447	6793	-16.4465	-99.3233	-16.4553	-99.3136	490.2	-5.88654e+06	-974997	6795	0	Vent	-46.3905	755.236	1.54067	0	NotEquant	0	6	Syria Planum
471	471	-99.2379	-16.4933	6739	-16.5026	-99.2528	-16.5079	-99.2437	169.6	-5.88139e+06	-977807	6742	0	Vent	-59.2036	604.993	3.56717	0	NotEquant	0	6	Syria Planum
472	472	-99.457	-16.6105	6725	-16.6109	-99.4665	-16.6215	-99.4541	728.3	-5.89533e+06	-984342	6765	0	Vent		940.544	1.29142	1	Equant	0	6	Syria Planum
473	473	-99.1886	-15.9935	6841	-15.9946	-99.1942	-16.0113	-99.1775	529.9	-5.88005e+06	-947747	6841	0	Vent	-43.8657	1366.94	2.57962	0	NotEquant	0	6	Syria Planum
474	474	-99.0371	-15.3012	7037	-15.2923	-99.041	-15.2962	-99.0349	231.4	-5.87086e+06	-906731	7036	0	Vent	-56.1405	417.031	1.80221	0	NotEquant	0	6	Syria Planum
475	475	-98.9683	-15.3435	7002	-15.3351	-98.9676	-15.343	-98.9586	331.8	-5.86656e+06	-909257	7009	0	Vent	-47.6191	689.24	2.07728	0	NotEquant	0	6	Syria Planum
476	476	-99.0794	-14.8011	7282	-14.806	-99.1005	-14.8043	-99.0899	358	-5.87264e+06	-877283	7291	0	Vent	80.9012	611.641	1.70849	0	NotEquant	0	6	Syria Planum
477	477	-99.1879	-15.6928	7004	-15.6815	-99.2036	-15.6998	-99.1706	1210.5	-5.87993e+06	-929182	7043	0	Vent	-60.0753	2169.78	1.79247	0	NotEquant	0	6	Syria Planum
478	478	-99.542	-12.3	7256	-12.3298	-99.5734	-12.2946	-99.5179	418.1	-5.90316e+06	-731418	7288	0	Vent	56.9678	3825.02	9.14858	0	NotEquant	0	6	Syria Planum
479	479	-98.8565	-16.6539	6492	-16.6605	-98.8646	-16.6751	-98.8437	611.2	-5.86048e+06	-986619	6495	0	Vent	-53.8427	1461.61	2.39138	0	NotEquant	0	6	Syria Planum
480	480	-98.862	-16.9144	6448	-16.9115	-98.8678	-16.9163	-98.8596	110.5	-5.85962e+06	-1.00237e+06	6450	0	Vent	-58.7141	542.229	4.90705	0	NotEquant	0	6	Syria Planum
481	481	-98.8023	-16.7625	6522	-16.7492	-98.8038	-16.7603	-98.804	299.7	-5.85639e+06	-993440	6522	0	Vent	0.948977	653.349	2.18001	0	NotEquant	0	6	Syria Planum
482	482	-98.9868	-17.0013	6476	-17	-99.0091	-17.0236	-98.9702	328.1	-5.86888e+06	-1.00795e+06	6488	0	Vent	-57.5524	2603.38	7.93472	0	NotEquant	0	6	Syria Planum
483	483	-98.7534	-17.1478	6380	-17.1378	-98.7527	-17.1595	-98.7517	353	-5.85356e+06	-1.0172e+06	6387	0	Vent	-2.3977	1285.1	3.64051	0	NotEquant	0	6	Syria Planum
484	484	-98.2132	-12.3287	7249	-12.3436	-98.2367	-12.3339	-98.1957	678.1	-5.8217e+06	-731409	7251	0	Vent	76.3564	2434.32	3.58991	0	NotEquant	0	6	Syria Planum
485	485	-98.2588	-12.0723	6928	-12.087	-98.2742	-12.0768	-98.2563	208	-5.82435e+06	-716135	6928	0	Vent	59.5673	1200.73	5.77273	0	NotEquant	0	6	Syria Planum
486	486	-98.4582	-12.2546	6990	-12.2724	-98.4693	-12.2537	-98.4363	552.3	-5.83553e+06	-726380	6993	0	Vent	59.9027	2200.81	3.98481	0	NotEquant	0	6	Syria Planum
487	487	-97.9512	-13.2118	6852	-13.2143	-97.959	-13.1793	-97.9085	440.8	-5.80403e+06	-781454	6865	0	Vent	54.5097	3569.08	8.09682	0	NotEquant	0	6	Syria Planum
488	488	-98.2873	-14.676	7010	-14.6811	-98.3044	-14.6874	-98.2875	853	-5.82754e+06	-869549	7026	0	Vent		1038.4	1.21735	1	Equant	0	6	Syria Planum
