FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017
63	-106.707083	2.08272	-6325030.043	123452.582	5637	2.178553	-106.652984	2.027457	-106.737693	170.713061	2.175257	-106.653184	-6321835.197	128937.6763	5662	0	"Vent"	64
64	-106.567513	1.991343	-6316757.078	118036.2309	5627	1.996176	-106.579113	1.968961	-106.553385	123.36122	1.997229	-106.581504	-6317586.404	118385.1683	5631	0	"Vent"	66
65	-106.522637	2.101396	-6314097.062	124559.6024	5646	2.031972	-106.578987	2.149231	-106.471245	174.601584	2.136445	-106.495154	-6312468.029	126637.1486	5653	0	"Vent"	67
66	-106.753072	1.877015	-6327756.031	111259.5245	5705	1.861501	-106.772678	1.881489	-106.742412	300.024852	1.878657	-106.74679	-6327383.681	111356.8434	5714	0	"Vent"	68
67	-106.213312	0.327485	-6295761.955	19411.57928	5643	0.314446	-106.230064	0.342618	-106.195609	296.271787	0.322702	-106.22302	-6296337.405	19128.08519	5647	0	"Vent"	69
68	-106.103773	-1.016423	-6289269.077	-60248.14644	5669	-1.06236	-106.146226	-1.023099	-106.116959	281.819085	-1.004701	-106.106022	-6289402.362	-59553.37438	5673	0	"Vent"	70
69	-105.963209	-1.417854	-6280937.177	-84042.85368	5654	-1.432333	-105.973274	-1.398164	-105.954048	154.825133	-1.446966	-105.978914	-6281868.053	-85768.50048	5663	0	"Vent"	71
70	-105.843393	4.702683	-6273835.092	278750.1287	6218	4.689555	-105.854982	4.713526	-105.838398	854.72979	4.715033	-105.832971	-6273217.329	279482.1358	6224	0	"Vent"	72
71	-105.940099	4.665624	-6279567.324	276553.4707	6182	4.651679	-105.954572	4.675499	-105.934672	1067.175101	4.677081	-105.931456	-6279054.989	277232.5872	6186	0	"Vent"	73
72	-105.911158	4.483153	-6277851.838	265737.5453	6240	4.457599	-105.922917	4.497551	-105.910102	221.327846	4.45824	-105.926434	-6278757.327	264260.8374	6248	0	"Vent"	74
73	-105.727275	4.447506	-6266952.231	263624.5696	6330	4.42949	-105.744462	4.452255	-105.722149	239.563609	4.442723	-105.73013	-6267121.481	263341.0755	6337	0	"Vent"	75
74	-105.897732	4.384259	-6277056.021	259875.6067	6223	4.370464	-105.906778	4.394284	-105.899089	238.627607	4.392175	-105.896145	-6276961.946	260344.8528	6224	0	"Vent"	76
75	-105.814205	4.282385	-6272105.009	253837.0985	6209	4.261806	-105.827472	4.290753	-105.812245	131.176486	4.260777	-105.825865	-6272796.114	252556.2624	6214	0	"Vent"	77
76	-105.634302	4.300456	-6261441.293	254908.2308	6198	4.276409	-105.645157	4.321035	-105.626613	187.378731	4.283677	-105.645431	-6262100.945	253913.6743	6207	0	"Vent"	78
77	-105.941904	3.875595	-6279674.344	229724.7211	6096	3.865268	-105.952307	3.878083	-105.943412	395.168908	3.877979	-105.939799	-6279549.522	229866.045	6096	0	"Vent"	79
